scene_id,safe_directory,filename,valid_pixels,nan_count,zero_count,valid_percentage,real_mean,real_std,real_min,real_max,imag_mean,imag_std,imag_min,imag_max,amplitude_mean,amplitude_std,amplitude_min,amplitude_max,amplitude_median,phase_mean,phase_std,phase_min,phase_max,phase_circular_mean,phase_circular_variance,phase_circular_std
335f9a411884e9cbv,S1B_IW_SLC__1SDV_20201018T054753_20201018T054820_023863_02D58D_8CE7.SAFE,s1b-iw1-slc-vh-20201018t054754-20201018t054819-023863-02d58d-001_SARFish.tiff,285029283,0,36226849,100.0,-0.0027574815,14.997891,-3529.0,2966.0,0.029089043,15.006471,-3668.0,5422.0,15.748271,14.217105,0.0,6096.8047,13.892444,0.078970045,1.7004949,-3.1389046,3.1415927,0.010266005,0.8735023438930511,2.0334854313641126
335f9a411884e9cbv,S1B_IW_SLC__1SDV_20201018T054753_20201018T054820_023863_02D58D_8CE7.SAFE,s1b-iw2-slc-vh-20201018t054755-20201018t054820-023863-02d58d-002_SARFish.tiff,331309224,0,34412972,100.0,-0.0071014264,23.07619,-6541.0,9334.0,0.0011237991,23.071266,-6570.0,7978.0,22.926825,23.21976,0.0,9894.857,15.811388,0.068502165,1.7210786,-3.138719,3.1415927,-0.01389306,0.8952171206474304,2.1240832777445897
335f9a411884e9cbv,S1B_IW_SLC__1SDV_20201018T054753_20201018T054820_023863_02D58D_8CE7.SAFE,s1b-iw3-slc-vh-20201018t054753-20201018t054818-023863-02d58d-003_SARFish.tiff,318382830,0,31162632,100.0,0.002565823,18.202345,-4646.0,5784.0,0.0094051175,18.201643,-4255.0,5127.0,18.143103,18.260683,0.0,6370.0454,13.341663,0.08405993,1.7275264,-3.1384773,3.1415927,0.0012314179,0.9013760909438133,2.1524133252753788
3808f5703f0920bfv,S1A_IW_SLC__1SDV_20200421T050338_20200421T050406_032221_03BA14_7DD2.SAFE,s1a-iw3-slc-vh-20200421t050338-20200421t050406-032221-03ba14-003_SARFish.tiff,341956342,0,20759728,100.0,0.004107416,30.860744,-3417.0,5118.0,0.02912461,30.86008,-3412.0,3533.0,32.41209,29.226326,0.0,5437.0166,24.186773,0.0667002,1.7640727,-3.140158,3.1415927,0.03744345,0.9409502036869526,2.378812386777371
3808f5703f0920bfv,S1A_IW_SLC__1SDV_20200421T050338_20200421T050406_032221_03BA14_7DD2.SAFE,s1a-iw1-slc-vh-20200421t050339-20200421t050404-032221-03ba14-001_SARFish.tiff,272711592,0,22474879,100.0,-0.0024438456,23.275122,-4129.0,5132.0,-0.021248551,23.280958,-5154.0,5009.0,23.730442,22.816694,0.0,5646.9604,18.248287,0.061542723,1.7411201,-3.1404703,3.1415927,-0.018338349,0.916789136826992,2.229967431463891
3808f5703f0920bfv,S1A_IW_SLC__1SDV_20200421T050338_20200421T050406_032221_03BA14_7DD2.SAFE,s1a-iw2-slc-vh-20200421t050340-20200421t050405-032221-03ba14-002_SARFish.tiff,319875216,0,21123659,100.0,0.007942119,29.154968,-3392.0,9421.0,-0.011557466,29.145586,-3628.0,5485.0,30.725517,27.484999,0.0,9758.181,22.472204,0.062660724,1.7580546,-3.1407459,3.1415927,0.023923026,0.9349161982536316,2.337554098552182
75c03770095c6d9ev,S1A_IW_SLC__1SDV_20200522T050603_20200522T050631_032673_03C8C7_E420.SAFE,s1a-iw1-slc-vh-20200522t050603-20200522t050631-032673-03c8c7-001_SARFish.tiff,282946062,0,4621361,100.0,-0.007241044,48.99372,-2494.0,2712.0,0.011336016,48.99293,-4288.0,1773.0,58.668594,36.860218,0.0,4804.009,52.630787,0.028952356,1.8011508,-3.1387837,3.1415927,0.011373945,0.983775669708848,2.8709731080587098
75c03770095c6d9ev,S1A_IW_SLC__1SDV_20200522T050603_20200522T050631_032673_03C8C7_E420.SAFE,s1a-iw2-slc-vh-20200522t050604-20200522t050629-032673-03c8c7-002_SARFish.tiff,303170754,0,4978227,100.0,-0.02191589,29.064295,-5274.0,3040.0,-0.008624001,29.073814,-4295.0,6535.0,28.525614,29.602545,0.0,8397.696,17.20465,0.08216438,1.806077,-3.1397374,3.1415927,0.14412034,0.9855636265128851,2.911358555936001
75c03770095c6d9ev,S1A_IW_SLC__1SDV_20200522T050603_20200522T050631_032673_03C8C7_E420.SAFE,s1a-iw3-slc-vh-20200522t050605-20200522t050630-032673-03c8c7-003_SARFish.tiff,292915987,0,5419037,100.0,-0.0005517282,18.651726,-2339.0,2306.0,0.024530523,18.659992,-3357.0,3085.0,16.917995,20.245092,0.0,3499.6401,10.770329,0.122357994,1.8050016,-3.138719,3.1415927,0.15660822,0.98284912109375,2.8515630305169437
cdc04ca397865356v,S1A_IW_SLC__1SDV_20200706T074222_20200706T074242_033331_03DC92_2526.SAFE,s1a-iw3-slc-vh-20200706t074223-20200706t074242-033331-03dc92-003_SARFish.tiff,226466718,0,3530375,100.0,-0.0120264115,10.435357,-2702.0,2934.0,0.031068137,10.461019,-4615.0,4995.0,11.832416,8.85014,0.0,5678.9814,10.0,0.131264,1.8077515,-3.1376646,3.1415927,0.19293791,0.9856390850618482,2.9131580812018267
